"code             ","rgb             ","hex    ","name                  ","category                       "
"19-4035 TCX      ","rgb(48,86,121)  ","#305679","Dark Blue             ","Fashion and Interior Designers "
"19-4127 TPX      ","rgb(49,93,120)  ","#315D78","Midnight              ","Fashion and Interior Designers "
"18-4032 TCX      ","rgb(38,102,145) ","#266691","Deep Water            ","Fashion and Interior Designers "
"18-5418 TCX      ","rgb(41,103,92)  ","#29675C","Antique Green         ","Fashion and Interior Designers "
"18-4522 TCX      ","rgb(45,100,113) ","#2D6471","Colonial Blue         ","Fashion and Interior Designers "
"18-4034 TCX      ","rgb(48,101,142) ","#30658E","Vallarta Blue         ","Fashion and Interior Designers "
"18-4232 TCX      ","rgb(42,106,139) ","#2A6A8B","Faience               ","Fashion and Interior Designers "
"18-5115 TCX      ","rgb(49,108,107) ","#316C6B","North Sea             ","Fashion and Interior Designers "
"17-5117 TPX      ","rgb(49,130,132) ","#318284","Green-Blue Slate      ","Fashion and Interior Designers "
"17-4429 TCX      ","rgb(49,131,160) ","#3183A0","Navagio Bay           ","Fashion and Interior Designers "
"16-5422 TCX      ","rgb(48,162,153) ","#30A299","Bright Aqua           ","Fashion and Interior Designers "
"15-5718 TPX      ","rgb(71,198,163) ","#47C6A3","Biscay Green          ","Fashion and Interior Designers "
"15-5416 TPX      ","rgb(72,193,170) ","#48C1AA","Florida Keys          ","Fashion and Interior Designers "
"19-3731 TCX      ","rgb(57,40,82)   ","#392852","Parachute Purple      ","Fashion and Interior Designers "
"19-1101 TPX      ","rgb(53,48,48)   ","#353030","After Dark            ","Fashion and Interior Designers "
"19-1102 TPX      ","rgb(52,49,50)   ","#343132","Licorice              ","Fashion and Interior Designers "
"19-1103 TCX      ","rgb(54,48,49)   ","#363031","Espresso              ","Fashion and Interior Designers "
"19-1106 TCX      ","rgb(57,45,43)   ","#392D2B","Mole                  ","Fashion and Interior Designers "
"19-1109 TCX      ","rgb(56,46,45)   ","#382E2D","Chocolate Torte       ","Fashion and Interior Designers "
"19-1110 TCX      ","rgb(60,45,46)   ","#3C2D2E","Chocolate Plum        ","Fashion and Interior Designers "
